Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
16793,Atari's Greatest Hits: Volume 2,DS,2011,Misc,Atari  ,Atari  ,,,0.05,,,0.0,0.06
16794,Mark McMorris Infinite Air,XOne,2016,Sports,Maximum Games  ,HB Studios  ,,,0.05,,,0.01,0.06
16795,Terminator 3: Rise of the Machines,GBA,2003,Shooter,Atari  ,Taniko  ,,,0.04,0.02,,0.0,0.06
16796,Jissen Pachislot Hisshouhou! Hokuto no Ken Portable SE,PSP,2006,Misc,Sega  ,Sammy Studios  ,,,,,0.06,,0.06
16797,G1 Jockey 2,PS2,2000,Sports,KOEI  ,Koei/Inis  ,,,,,0.06,,0.06
16798,Tiger Woods PGA Tour 08,DS,2007,Sports,EA Sports  ,Exient Ltd.  ,,,0.05,0.0,,0.0,0.06
16799,Mobile Ops: The One Year War,X360,N/A,Simulation,Unknown  ,Dimps Corporation / Dream Execution  ,,,,,0.06,,0.06
16800,Constantine,XB,2005,Action,THQ  ,Bits Studios  ,,,0.04,0.01,,0.0,0.06
16801,Cartoon Network: Battle Crashers,PS4,2016,Action,GameMill Entertainment  ,Magic Pockets  ,1.5,,0.05,,,0.01,0.06
16802,Tom Clancy's Splinter Cell: Double Agent,GC,2006,Action,Ubisoft  ,Ubisoft Montreal  ,5.6,,0.04,0.01,,0.0,0.06
16803,Tropico 5,X360,2014,Simulation,Kalypso Media  ,Haemimont Games  ,,,0.03,0.02,,0.0,0.06
16804,Senritsu no Stratus,PSP,2011,Role-Playing,Konami  ,Nude Maker  ,,,,,0.06,,0.06
16805,Katekyoo Hitman Reborn! DS Flame Rumble X - Mirai Chou-Bakuhatsu!!,DS,2009,Fighting,Takara Tomy   ,Takara Tomy  ,,,,,0.06,,0.06
16806,Nobunaga's Ambition: Sphere of Influence,PSV,2014,Strategy,Tecmo Koei  ,Koei  ,,,,,0.06,,0.06
16807,World Championship Athletics,Wii,2009,Sports,Conspiracy Entertainment  ,Crave Entertainment  ,,,0.04,0.01,,0.0,0.06
16808,Handball 16,PS4,2015,Sports,Bigben Interactive  ,EKO Software  ,,,,0.05,,0.01,0.06
16809,Monster High: New Ghoul in School,3DS,2015,Action,Little Orbit  ,Torus Games  ,,,,0.05,,0.0,0.06
16810,Nanostray,DS,2005,Shooter,Majesco  ,Shin'en GmbH  ,,,0.05,0.0,,0.0,0.06
16811,Refrain no Chika Meikyuu to Majo no Ryodan,PSV,2016,Role-Playing,Nippon Ichi Software  ,Nippon Ichi Software  ,,,,,0.06,,0.06
16812,Extinction,PS4,2018,Action,Maximum Games  ,Iron Galaxy  ,,,0.05,,,0.01,0.06
16813,Etrian Mystery Dungeon 2,3DS,2017,Role-Playing,Atlus  ,Atlus  ,,,,,0.06,,0.06
16814,Wantame Fortune Channel,DS,2007,Misc,Capcom  ,Capcom  ,,,,,0.06,,0.06
16815,Evangelion: Jo,PSP,2009,Action,Namco Bandai  ,Bec  ,,,,,0.06,,0.06
16816,Gintama Ranbu,PS4,2018,Action,Bandai Namco Games  ,Bandai Namco Games  ,,,,,0.06,,0.06
16817,Bleach: Blade Battlers 2nd,PS2,2007,Fighting,Sony Computer Entertainment  ,Racjin  ,,,,,0.06,,0.06
